ID_EQUIPO,PUNTO_MEDICION,CAPACIDAD_MAXIMA_GBS,FECHA_INICIO_MEDICION,FECHA_HORA,FECHA_FIN_MEDICION,PASO,LATENCIA_MS,PORCENTAJE_PACK_LOSS,INBOUND_BITS,OUTBOUND_BITS,MEDIDA
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 23:00:00.000,2020-06-21 19:00:00.000,7200,0.62217,0.0,3210141.1854,11601507.135,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 01:00:00.000,2020-06-21 19:00:00.000,7200,0.6982,0.0,4512007.8338,12052214.032,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 03:00:00.000,2020-06-21 19:00:00.000,7200,0.6663100000000001,0.0,1386918.3387,10105120.822999999,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 05:00:00.000,2020-06-21 19:00:00.000,7200,0.6821699999999999,0.0,3337688.1093,13524489.938,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 07:00:00.000,2020-06-21 19:00:00.000,7200,0.73011,0.0,5885593.9075,10103041.877,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 09:00:00.000,2020-06-21 19:00:00.000,7200,0.70962,0.0,6651862.1069,10533484.516,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 11:00:00.000,2020-06-21 19:00:00.000,7200,0.6571899999999999,0.0,7136680.0213,9097877.7421,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 13:00:00.000,2020-06-21 19:00:00.000,7200,0.68742,0.0,7311455.5415,14080378.665,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 15:00:00.000,2020-06-21 19:00:00.000,7200,0.71081,0.0,6684187.207,9097336.5284,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 17:00:00.000,2020-06-21 19:00:00.000,7200,0.73172,0.0,8010694.9642,12650773.807,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 19:00:00.000,2020-06-21 19:00:00.000,7200,0.73463,0.0,5521064.6167,12345283.263,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 21:00:00.000,2020-06-21 19:00:00.000,7200,0.65889,0.0,5156909.6157,9848808.5263,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-09 23:00:00.000,2020-06-21 19:00:00.000,7200,0.66025,0.0,3077296.6436,8342171.6157,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-10 01:00:00.000,2020-06-21 19:00:00.000,7200,0.92855,0.0,4206030.8868,11061683.848,MB
